,Дата,severstal,aeroflot,gazprom,lukoil,novatek,ozon,rosneft,sber,tatneft,yandex,SU26207RMFS9,SU26227RMFS7,SU26238RMFS4,SU26243RMFS4,SU25085RMFS0,brent,moex,rts,Евро,Доллар США
427,25.04.2022,1055.0,29.02,206.35,3931.0,967.2,937.0,388.5,111.9,355.0,1520.8,93.2,94.851,77.99,,,102.32,"2 186,22","941,08","80,0249","73,5050"
428,22.04.2022,1061.8,30.62,208.0,3828.0,970.2,1000.0,397.35,116.97,359.7,1692.0,93.51,95.05,78.349,,,106.65,"2 232,23","928,3","81,2239","74,9990"
429,21.04.2022,1045.0,31.12,210.29,3974.0,998.8,1053.0,388.0,118.65,350.0,1646.0,93.8,95.151,79.5,,,108.33,"2 271,05","961,46","83,2705","77,0809"
430,20.04.2022,1045.0,32.5,218.92,4310.0,1001.2,1064.0,391.0,121.5,355.0,1789.8,93.07,94.95,78.101,,,106.8,"2 330,73","960,42","85,9674","79,0287"
431,19.04.2022,1003.4,30.52,220.72,4485.0,1011.0,1017.5,385.0,120.3,340.7,1857.6,92.43,94.601,76.906,,,107.25,"2 317,46","931,86","86,4289","79,4529"
432,18.04.2022,973.6,31.32,216.99,4549.0,1047.8,977.0,384.85,123.85,352.9,1880.2,91.689,93.851,75.151,,,113.16,"2 342,63","926,08","87,0715","80,0437"
433,15.04.2022,971.0,32.96,224.0,4893.0,1056.0,1020.5,390.5,130.88,361.0,1979.6,90.7,93.05,73.844,,,111.6,"2 424,99","955,46","88,0024","81,2880"
434,14.04.2022,975.6,32.74,222.11,4879.5,1013.0,1060.5,391.0,129.05,367.0,1945.2,90.904,93.1,74.077,,,111.7,"2 404,73","941,05","86,7219","79,8471"
435,13.04.2022,1013.4,33.86,234.87,5106.0,1101.4,1103.0,406.05,135.5,385.0,2088.0,91.163,93.115,74.155,,,108.78,"2 528,42","997,04","86,7939","79,6274"
436,12.04.2022,1035.6,34.06,236.3,5145.0,1116.2,1094.0,412.1,135.38,383.6,2074.0,90.844,92.86,72.85,,,104.64,"2 540,99","1 004,7","85,9752","79,1596"
437,11.04.2022,1018.0,35.46,234.55,5190.0,1141.6,1126.5,414.0,138.69,382.8,2097.0,90.802,92.7,72.6,,,98.48,"2 557,16","1 017,05","81,7064","74,8501"
438,08.04.2022,1067.8,36.94,241.07,5226.5,1200.6,1177.0,403.05,143.72,386.0,2115.0,90.2,92.63,71.87,,,102.78,"2 592,72","1 079,99","83,2930","76,2547"
439,07.04.2022,1066.0,37.58,245.0,5280.0,1263.0,1219.5,408.5,147.5,391.0,2130.0,86.47,90.528,66.852,,,100.58,"2 635,39","1 092,41","90,5998","82,5962"
440,06.04.2022,1061.8,37.18,239.7,5266.0,1264.0,1215.0,405.0,141.6,393.0,2070.8,86.325,90.5,65.211,,,101.07,"2 611,43","1 034,79","91,7289","83,3520"
441,05.04.2022,1093.0,37.76,243.5,5314.0,1298.0,1298.0,419.0,154.1,395.0,2158.4,86.612,90.5,65.717,,,106.64,"2 662,79","1 004,78","92,3872","83,5932"
442,04.04.2022,1185.0,40.9,252.9,5557.0,1389.2,1397.0,443.9,166.0,407.0,2285.0,86.601,90.11,66.75,,,107.53,"2 787,69","1 051,68","92,1468","83,4285"
443,01.04.2022,1192.6,38.8,251.4,5601.0,1390.0,1418.0,450.0,154.5,407.2,2325.0,86.851,90.501,68.907,,,104.39,"2 759,64","1 033,58","92,4930","83,4097"
444,31.03.2022,1100.0,37.74,242.48,5680.0,1450.0,1425.0,437.5,143.69,411.8,2259.0,87.674,90.9,69.5,,,107.91,"2 703,51","1 021,28","93,6960","84,0851"
445,30.03.2022,1058.0,37.54,216.0,5140.0,1444.0,1070.0,387.0,134.6,395.3,2154.0,86.063,89.85,69.003,,,113.45,"2 513,03","949,23","96,0085","86,2843"
446,29.03.2022,1013.8,30.1,208.0,4922.0,1470.0,940.0,370.0,128.77,391.0,2020.0,83.95,87.814,64.218,,,110.23,"2 408,49","881,59","102,6714","93,7125"
447,28.03.2022,1053.8,25.86,218.6,5118.0,1379.0,,357.95,125.0,399.8,,81.905,86.439,60.404,,,112.48,"2 430,7","823,04","105,2662","95,6618"
448,25.03.2022,1160.4,25.1,227.0,5206.0,1400.0,,365.1,131.5,427.0,,81.501,86.182,60.58,,,120.65,"2 484,13","829,62","105,4679","96,0458"
449,24.03.2022,1280.0,30.7,258.51,5525.0,1343.6,,360.2,136.24,424.0,,81.225,86.14,60.05,,,119.03,"2 578,51","852,64","113,2613","103,1618"
450,25.02.2022,1315.0,36.74,228.0,4915.0,1134.0,1005.5,307.95,131.12,353.0,1931.2,,90.056,67.401,,,97.93,"2 470,48","936,94","97,7688","86,9288"
451,24.02.2022,1250.0,35.7,210.0,4650.0,1001.4,1000.0,274.7,132.18,309.8,1990.0,81.937,88.002,65.999,,,99.08,"2 058,12","742,91","90,8820","80,4194"
452,22.02.2022,1604.8,49.52,283.51,6020.0,1354.0,1394.5,431.3,208.53,441.6,3154.8,89.832,92.65,72.901,,,96.84,"3 084,74","1 226,69","87,3379","76,7671"
453,21.02.2022,1494.2,46.6,257.3,5810.0,1281.8,1259.5,438.7,201.0,396.0,3065.8,90.353,93.0,74.218,,,95.39,"3 036,88","1 207,5","86,1489","75,7619"
454,18.02.2022,1636.0,55.7,309.48,6456.5,1492.8,1478.0,519.5,250.28,472.4,3475.4,93.108,94.51,78.556,,,93.61,"3 393,31","1 391,31","86,1308","75,7527"
455,17.02.2022,1612.8,58.08,323.51,6733.0,1542.8,1590.0,549.5,260.58,491.0,3772.6,93.6,94.695,79.501,,,92.97,"3 511,08","1 450,02","85,3060","75,0141"
456,16.02.2022,1669.0,60.42,336.5,6970.0,1621.4,1715.0,571.55,277.78,503.9,4044.8,94.403,95.03,80.245,,,94.81,"3 646,41","1 524,51","86,2656","76,1660"
457,15.02.2022,1651.0,59.42,333.6,6979.0,1620.0,1669.0,565.95,274.0,498.5,3953.2,93.715,94.72,79.371,,,93.28,"3 600,29","1 498,04","86,8451","76,5762"
458,14.02.2022,1619.0,57.3,321.85,6796.0,1618.8,1475.5,556.0,256.7,482.1,3471.4,92.582,94.302,77.91,,,96.48,"3 481,38","1 426,09","85,3574","74,9867"
459,11.02.2022,1599.2,58.3,318.1,6707.5,1556.6,1487.0,547.4,260.83,478.7,3429.8,93.58,94.54,79.352,,,94.44,"3 546,62","1 470,1","85,3798","74,7241"
460,10.02.2022,1649.0,59.76,328.93,6984.5,1632.0,1631.0,569.4,275.2,498.5,3805.0,95.5,95.7,81.777,,,91.41,"3 655,76","1 546,79","85,3784","74,8015"
461,09.02.2022,1675.2,59.2,335.08,6973.5,1659.0,1646.0,579.0,279.09,506.5,3763.0,95.599,95.8,82.102,,,91.55,"3 638,93","1 534,82","85,8920","75,3042"
462,08.02.2022,1627.0,57.18,331.7,6957.5,1628.2,1598.0,570.05,269.8,499.1,3624.2,95.603,95.856,81.756,,,90.78,"3 551,65","1 489,18","86,5181","75,6806"
463,07.02.2022,1559.0,56.18,321.25,6988.0,1602.0,1501.0,569.8,257.61,492.0,3468.0,95.58,95.957,81.861,,,92.69,"3 470,78","1 445,2","87,1163","76,0509"
464,04.02.2022,1560.6,56.18,324.6,7010.0,1628.4,1538.0,572.0,256.53,490.8,3502.4,95.706,95.892,82.04,,,93.27,"3 471,01",1 436,"86,5610","76,6501"
465,03.02.2022,1558.4,55.7,323.75,6865.5,1614.8,1516.0,569.0,250.79,487.9,3517.0,95.409,95.818,81.937,,,91.11,"3 471,18","1 431,99","86,2826","76,4849"
466,02.02.2022,1567.8,57.2,331.7,7040.0,1612.0,1660.5,575.7,261.0,491.5,3675.0,95.59,95.88,82.371,,,89.47,"3 543,8","1 463,9","86,7869","77,1302"
467,01.02.2022,1540.0,57.12,330.95,6976.0,1628.4,1639.5,574.15,264.7,491.7,3724.0,95.349,95.75,81.819,,,89.16,"3 548,17","1 457,64","86,5032","77,4702"
468,31.01.2022,1511.0,57.32,334.8,6878.0,1637.2,1606.5,576.95,269.42,499.7,3717.6,95.103,95.68,81.71,,,89.26,"3 530,38","1 435,23","86,6419","77,8174"
469,28.01.2022,1475.6,55.54,329.58,6775.0,1591.4,1393.5,566.5,257.82,503.6,3448.4,94.97,95.58,81.497,,,90.03,"3 488,6","1 407,04","88,4680","78,9470"
470,27.01.2022,1467.6,55.02,325.25,6811.5,1611.8,1422.5,563.2,254.29,484.9,3405.2,94.897,95.58,81.156,,,89.34,"3 455,93","1 399,64","89,1511","78,9437"
471,26.01.2022,1428.0,52.64,299.6,6525.5,1523.4,1340.0,532.75,236.9,468.0,3364.8,93.84,95.07,79.4,,,89.96,"3 357,66","1 324,4","88,9286","78,6422"
472,25.01.2022,1423.8,52.4,302.96,6543.0,1590.0,1362.5,548.4,239.59,479.4,3409.2,94.0,95.23,79.97,,,88.2,"3 258,74","1 296,8","87,5925","77,3649"
473,24.01.2022,1416.0,52.22,294.59,6293.0,1538.0,1335.0,546.9,236.97,459.2,3345.0,94.141,95.06,79.936,,,86.27,"3 235,28","1 288,17","86,9054","76,6903"
474,21.01.2022,1480.0,56.56,311.6,6420.0,1592.8,1399.0,564.8,246.9,474.2,3490.0,95.152,95.72,82.52,,,87.89,"3 439,25","1 401,88","86,8215","76,4408"
475,20.01.2022,1482.8,57.2,310.42,6430.0,1588.4,1500.0,561.7,254.61,478.8,3669.2,95.395,95.701,82.62,,,88.38,"3 516,02","1 450,59","87,1318","76,8697"
476,19.01.2022,1480.6,56.62,318.36,6494.0,1593.6,1574.5,566.9,244.86,490.7,3701.8,95.87,95.945,83.54,,,88.44,"3 436,82","1 414,68","87,0216","76,3347"
477,18.01.2022,1460.4,55.46,301.11,6250.0,1579.6,1667.0,544.8,234.7,474.0,3769.0,95.31,95.723,82.4,,,87.51,"3 328,94","1 367,45","86,8609","76,0404"
478,17.01.2022,1514.8,58.98,327.81,6516.0,1641.8,1812.5,592.55,257.78,495.7,4075.6,95.3,95.789,82.007,,,86.48,"3 560,35","1 474,99","86,8894","75,7668"
479,14.01.2022,1551.8,59.86,335.76,6659.0,1726.0,1757.5,605.5,261.0,498.1,3938.6,95.95,95.93,83.2,,,86.06,"3 596,98","1 485,86","85,4556","74,5686"
480,13.01.2022,1570.4,60.16,337.6,6665.0,1744.2,1877.0,603.3,272.5,496.3,4168.0,96.401,96.5,84.8,,,84.47,"3 674,73","1 516,99","84,6709","74,5277"
481,12.01.2022,1591.2,62.44,347.43,6960.0,1807.4,2073.5,627.7,290.4,511.2,4393.2,98.12,97.1,87.26,,,84.67,"3 829,95","1 612,8","84,8784","74,8355"
482,11.01.2022,1572.4,63.2,343.74,6816.0,1779.8,2054.0,613.6,291.88,508.2,4338.2,98.445,97.268,87.402,,,83.92,"3 785,29","1 595,45","85,1315","75,1315"
483,10.01.2022,1554.6,63.02,344.0,6775.0,1758.6,2008.5,602.0,291.69,499.8,4196.4,98.835,97.502,88.282,,,80.87,"3 738,68","1 565,31","84,0695","74,2926"
484,06.01.2022,1584.0,62.96,346.13,6699.0,1749.0,2061.0,601.6,293.92,496.4,4226.6,99.474,97.944,88.95,,,81.99,"3 753,29","1 545,24","84,0695","74,2926"
485,05.01.2022,1575.2,60.98,335.0,6522.0,1707.8,2029.5,590.3,287.01,492.6,4275.0,99.66,98.201,89.2,,,80.8,"3 815,05","1 586,2","84,0695","74,2926"
486,04.01.2022,1603.4,63.3,352.55,6728.0,1788.6,2209.0,613.5,304.24,515.4,4479.8,99.949,98.4,89.527,,,80.0,"3 873,49","1 622,58","84,0695","74,2926"
487,03.01.2022,1619.8,60.7,353.73,6683.0,1774.4,2238.5,610.95,305.47,515.4,4515.2,99.751,98.375,89.408,,,78.98,"3 852,5","1 622,75","84,0695","74,2926"
488,30.12.2021,1604.2,59.16,342.39,6573.0,1719.4,2316.5,599.0,293.49,502.0,4569.4,,,,,,79.53,"3 787,26","1 595,76","83,2040","73,6514"
489,29.12.2021,1570.4,58.98,340.33,6516.0,1716.8,2189.0,592.0,293.51,495.0,4418.8,,,,,,79.23,"3 741,07","1 589,74","83,2194","73,4959"
490,28.12.2021,1587.6,58.92,343.23,6478.0,1700.0,2242.5,596.2,295.0,496.4,4482.0,,,,,,78.94,"3 777,56","1 611,75","82,9363","73,2329"
491,27.12.2021,1588.6,59.08,343.97,6397.5,1697.6,2290.5,582.0,295.68,490.4,4467.8,,,,,,78.6,"3 740,63","1 602,91","82,9300","73,1886"
492,24.12.2021,1578.0,58.96,338.79,6313.5,1652.6,2263.0,572.05,293.89,482.0,4424.8,,,,,,76.14,"3 702,72","1 584,15","83,1223","73,3583"
493,23.12.2021,1561.0,59.2,339.81,6304.5,1655.8,2252.0,579.1,292.8,483.9,4410.6,,,,,,76.85,"3 704,6","1 587,87","83,1541","73,7901"
494,22.12.2021,1561.0,59.18,345.55,6349.5,1710.2,2294.0,579.7,294.0,489.0,4488.4,,,,,,75.29,"3 746,75","1 601,93","83,3213","73,8206"
495,21.12.2021,1545.4,59.68,339.88,6348.5,1683.2,2300.5,575.0,291.7,484.2,4578.8,,,,,,73.98,"3 693,02","1 573,5","83,6187","74,2947"
496,20.12.2021,1512.0,59.02,325.9,6328.5,1683.6,2249.0,567.55,288.4,481.4,4474.8,,,,,,71.52,"3 669,05","1 557,64","83,5026","73,7330"
497,17.12.2021,1502.8,60.04,327.3,6670.0,1666.2,2413.0,573.2,294.9,487.6,4630.2,,,,,,73.52,"3 723,27","1 583,05","83,1571","73,5708"
498,16.12.2021,1507.0,60.16,328.39,6729.0,1653.0,2404.5,573.0,295.89,483.1,4609.6,,,,,,75.02,"3 750,36","1 604,7","83,2375","73,8510"
499,15.12.2021,1452.2,59.36,324.09,6595.0,1637.8,2290.0,561.1,286.65,479.3,4511.6,,,,,,73.88,"3 621,82",1 541,"82,8299","73,4698"
500,14.12.2021,1466.2,59.5,319.35,6592.0,1609.6,2350.0,550.85,284.9,464.8,4586.4,,,,,,73.7,"3 619,39","1 548,81","82,8660","73,4107"
501,13.12.2021,1482.8,60.02,307.26,6376.0,1590.6,2446.5,539.15,280.64,455.6,4560.0,,,,,,74.39,"3 618,31","1 548,09","83,1158","73,6059"
502,10.12.2021,1595.6,60.2,332.0,6619.5,1676.6,2528.0,572.1,297.44,484.5,4664.0,,,,,,75.15,"3 760,23","1 612,25","83,3444","73,5998"
503,09.12.2021,1589.8,61.04,336.6,6619.0,1689.0,2622.0,578.35,300.4,493.9,4853.6,,,,,,74.42,"3 813,29","1 632,54","83,3640","73,8453"
504,08.12.2021,1595.6,61.64,340.5,6574.5,1684.2,2694.5,574.95,296.95,496.5,4932.2,,,,,,75.82,"3 773,61","1 612,73","83,7114","74,1399"
505,07.12.2021,1603.4,62.4,344.96,6720.5,1717.8,2698.0,589.55,309.79,501.1,4992.0,,,,,,75.44,"3 873,2","1 647,14","83,1138","73,6694"
506,06.12.2021,1556.0,61.08,338.94,6650.0,1662.2,2665.0,575.55,307.5,492.1,5068.0,,,,,,73.08,"3 810,1","1 622,07","83,2406","73,7426"
507,03.12.2021,1570.2,62.26,345.99,6639.5,1715.0,2681.5,576.55,320.66,495.9,5100.6,,,,,,69.88,"3 913,06","1 668,26","83,8105","74,0637"
508,02.12.2021,1587.4,62.84,350.3,6732.0,1721.8,2888.5,582.0,326.8,503.6,5255.0,,,,,,69.67,"3 947,54","1 690,13","83,8354","73,9746"
509,01.12.2021,1563.0,62.0,345.21,6576.5,1678.8,3012.0,569.95,324.4,477.9,5330.8,,,,,,68.87,"3 959,29","1 687,12","84,8234","74,8926"
510,30.11.2021,1564.6,60.32,334.24,6513.0,1627.6,2993.5,566.1,315.0,473.3,5359.4,,,,,,69.23,"3 890,59","1 645,81","84,4820","74,9818"
511,29.11.2021,1621.2,61.1,339.2,6616.0,1633.6,3041.0,573.25,316.57,470.6,5407.0,,,,,,73.44,"3 879,54","1 638,72","84,9526","75,5873"
512,26.11.2021,1592.4,60.98,326.0,6374.0,1611.2,3028.5,555.15,304.42,461.3,5380.0,,,,,,72.72,"3 810,98","1 589,38","83,6793","74,6004"
513,25.11.2021,1656.2,64.7,337.55,6661.5,1632.0,3077.0,590.9,317.29,489.6,5552.8,,,,,,82.22,"3 947,82","1 665,74","83,6394","74,3726"
514,24.11.2021,1655.2,64.22,338.3,6814.5,1668.0,3055.5,597.3,321.22,498.4,5542.2,,,,,,82.25,"3 950,56","1 660,59","84,1718","74,8327"
515,23.11.2021,1667.8,64.72,341.77,6829.5,1665.2,3098.5,601.95,326.84,497.5,5571.0,,,,,,82.31,"3 960,33","1 662,38","82,7715","73,4506"
516,22.11.2021,1663.6,65.2,319.2,6575.5,1575.8,3179.5,581.0,309.15,489.0,5450.0,,,,,,79.7,"3 872,77","1 628,1","82,5845","72,7617"
517,19.11.2021,1673.8,66.04,337.62,6709.0,1624.0,3365.5,590.5,327.56,500.3,5968.8,,,,,,78.89,"4 016,47","1 723,74","82,2583","72,6022"
518,18.11.2021,1695.0,67.14,345.56,6840.0,1714.8,3471.0,614.1,336.93,519.9,5993.8,,,,,,81.24,"4 093,85","1 761,96","82,3553","72,8228"
519,17.11.2021,1671.4,66.92,349.98,6884.5,1759.8,3201.5,619.5,339.89,529.6,5931.6,,,,,,80.28,"4 149,02","1 802,52","82,5244","72,5553"
520,16.11.2021,1669.4,67.1,336.79,6946.5,1771.8,3113.0,621.35,337.91,536.0,5936.4,,,,,,82.43,"4 120,02","1 767,58","82,7736","72,2724"
521,15.11.2021,1667.4,67.68,340.3,6918.5,1785.0,3145.0,621.55,344.39,533.2,5928.4,,,,,,82.05,"4 135,14","1 791,44","82,2173","71,8118"
522,12.11.2021,1676.4,65.98,333.6,6878.0,1780.2,3085.0,619.2,347.59,535.1,5970.2,,,,,,82.17,"4 121,66","1 784,28","81,6552","71,1964"
523,11.11.2021,1666.0,67.08,347.44,7094.5,1790.0,3096.0,634.5,356.24,546.1,5966.6,,,,,,82.87,"4 189,35","1 854,48","81,7870","70,6950"
524,10.11.2021,1641.0,67.84,345.8,7137.5,1756.2,3139.0,629.8,348.65,542.3,5857.8,,,,,,82.64,"4 172,47","1 853,64","82,6497","71,2866"
525,09.11.2021,1674.6,68.6,349.46,7188.0,1777.2,3151.0,636.4,357.44,545.0,5990.4,,,,,,84.78,"4 187,33","1 864,21","82,5355","71,3975"
526,08.11.2021,1665.8,68.8,351.47,7208.5,1788.8,3174.0,631.7,358.39,553.4,6161.0,,,,,,83.43,"4 218,27","1 865,46","82,8112","71,4876"
527,05.11.2021,1632.2,68.42,350.6,7199.0,1781.8,3139.5,626.25,360.21,543.0,6120.0,,,,,,82.74,"4 174,76","1 848,1","82,8112","71,4876"
528,03.11.2021,1651.0,67.92,353.02,7175.0,1796.6,3219.0,619.75,370.13,538.2,6027.0,,,,,,81.99,"4 184,87","1 826,65","82,9577","71,4783"
529,02.11.2021,1647.4,67.64,352.48,7214.0,1806.0,3191.5,630.2,370.7,545.2,5942.4,,,,,,84.72,"4 207,53","1 850,83","82,1687","71,0863"
530,01.11.2021,1662.4,67.98,359.1,7293.0,1844.0,3236.5,641.9,370.96,552.4,5890.0,,,,,,84.71,"4 221,49","1 866,98","82,2898","70,5200"
531,29.10.2021,1614.2,68.48,350.18,7272.5,1804.8,3190.0,636.1,356.14,540.0,5879.2,,,,,,83.72,4 150,"1 843,83","81,8393","70,5207"
532,28.10.2021,1619.4,68.18,353.21,7288.5,1801.0,3285.0,641.25,365.36,548.7,5823.0,,,,,,84.32,"4 189,66","1 880,37","81,0289","69,8104"
533,27.10.2021,1630.0,68.94,362.17,7323.5,1806.8,3268.5,638.4,371.36,546.0,5573.8,,,,,,84.58,"4 229,53","1 891,28","80,7019","69,5526"
534,26.10.2021,1633.4,67.52,364.82,7440.5,1829.6,3246.5,650.8,372.16,562.2,5309.6,,,,,,86.4,"4 235,87","1 916,29","81,7418","70,1345"
535,25.10.2021,1632.2,67.84,364.84,7441.5,1856.4,3348.5,655.05,369.99,570.2,5383.0,,,,,,85.99,"4 254,98","1 919,58","82,4979","70,8623"
536,22.10.2021,1621.0,67.9,358.12,7200.0,1836.6,3307.0,634.5,364.37,562.5,5325.8,,,,,,85.53,"4 196,96","1 877,99","82,6399","70,9904"
537,21.10.2021,1628.0,67.64,363.37,7232.0,1856.0,3389.5,633.3,364.6,562.9,5390.0,,,,,,84.61,"4 218,63","1 868,16","82,6162","71,0555"
538,20.10.2021,1627.8,68.58,369.97,7439.0,1893.6,3417.5,643.7,370.16,580.7,5420.2,,,,,,85.82,"4 287,52","1 904,77","82,6841","70,9674"
539,19.10.2021,1652.2,69.26,368.83,7373.0,1892.2,3474.0,643.0,373.18,573.0,5480.0,,,,,,85.08,"4 276,26","1 900,04","82,4592","71,1714"
540,18.10.2021,1639.6,69.76,363.5,7319.0,1897.0,3490.5,639.25,364.6,569.1,5488.8,,,,,,84.33,"4 248,33","1 876,56","82,7276","71,2371"
541,15.10.2021,1567.6,69.68,367.76,7306.5,1905.6,3364.0,645.45,371.82,570.5,5427.2,,,,,,84.86,"4 261,82","1 891,56","83,3347","71,7846"
542,14.10.2021,1595.6,70.08,367.0,7215.0,1898.2,3301.0,640.45,376.09,564.2,5518.0,,,,,,84.0,"4 259,13","1 875,97","83,0028","71,8577"
543,13.10.2021,1586.6,70.22,362.77,7252.0,1907.0,3345.0,632.85,378.8,567.9,5553.8,,,,,,83.18,"4 243,92","1 855,11","83,0934","71,8801"
544,12.10.2021,1591.4,70.7,364.1,7306.0,1897.6,3368.0,638.65,377.79,574.4,5549.0,,,,,,83.42,"4 263,8","1 869,94","82,9273","71,6373"
545,11.10.2021,1595.6,70.36,369.81,7264.0,1905.0,3484.5,641.55,387.6,565.0,5622.2,,,,,,83.65,"4 279,87","1 882,43","83,1248","71,9882"
546,08.10.2021,1584.2,70.98,366.17,7220.0,1906.4,3545.0,631.0,373.01,571.0,5701.6,,,,,,82.39,4 238,"1 860,96","83,6053","72,2854"
547,07.10.2021,1560.0,71.06,370.7,7165.0,1915.8,3545.0,647.95,368.93,569.3,5705.2,,,,,,81.95,"4 228,02","1 853,99","83,9251","72,5682"
548,06.10.2021,1538.0,70.64,381.3,7096.0,1930.4,3531.0,646.0,364.28,564.6,5694.2,,,,,,81.08,"4 171,71","1 814,64","84,1723","72,5686"
549,05.10.2021,1485.0,69.86,389.82,7346.5,1991.6,3507.0,655.25,363.2,577.8,5594.2,,,,,,82.56,"4 223,85","1 840,11","84,6355","72,9239"
550,04.10.2021,1462.4,69.22,376.06,7134.5,1953.0,3513.5,631.7,345.85,539.9,5504.0,,,,,,81.26,"4 112,72","1 785,75","84,4577","72,9215"
551,01.10.2021,1504.8,70.0,363.25,6987.5,1931.8,3627.0,618.45,338.48,532.1,5766.4,,,,,,79.28,"4 086,99","1 771,5","84,3050","72,6642"
552,30.09.2021,1520.0,69.96,360.8,6903.5,1921.0,3675.0,614.35,340.99,527.3,5804.6,,,,,,78.31,"4 103,52","1 777,74","84,8755","72,7608"
553,29.09.2021,1543.2,69.9,360.88,6992.0,1861.0,3648.5,618.9,328.43,526.9,5762.4,,,,,,78.64,"4 058,37","1 756,52","84,6752","72,5083"
554,28.09.2021,1533.2,69.12,354.07,6968.0,1854.2,3641.5,617.85,329.3,524.7,5788.0,,,,,,79.09,"4 065,46","1 756,26","85,0355","72,6613"
555,27.09.2021,1568.0,70.4,355.19,6986.0,1867.0,3701.0,627.85,331.68,531.5,5949.2,,,,,,79.53,"4 081,22","1 774,24","85,6823","73,0081"
556,24.09.2021,1563.4,69.1,344.29,6825.0,1884.6,3687.5,614.0,325.44,503.7,5850.4,,,,,,78.09,"4 038,23","1 747,56","85,2040","72,7245"
557,23.09.2021,1579.4,67.1,343.47,6801.0,1869.0,3770.0,598.25,327.02,507.3,5885.0,,,,,,77.25,"4 052,14","1 753,21","85,4889","72,8806"
558,22.09.2021,1561.0,67.28,340.59,6702.0,1913.6,3708.0,586.0,327.8,505.2,5755.0,,,,,,76.19,"4 030,98","1 747,31","85,8568","73,2067"
559,21.09.2021,1521.8,67.12,335.3,6605.0,1837.0,3680.5,564.5,323.25,493.3,5771.8,,,,,,74.36,"3 970,48","1 710,9","85,8785","73,3315"
560,20.09.2021,1510.2,66.16,325.7,6551.0,1840.0,3693.5,552.5,326.92,487.5,5785.0,,,,,,73.92,"3 969,61","1 700,66","85,4614","72,5602"
561,17.09.2021,1571.0,66.8,334.5,6600.5,1850.0,3729.5,567.1,329.56,502.0,5828.4,,,,,,75.34,"4 035,17","1 745,04","85,3622","72,4329"
562,16.09.2021,1609.0,66.64,338.5,6664.0,1900.6,3796.0,576.45,326.99,508.7,5872.0,,,,,,75.67,"4 045,1","1 755,64","86,0674","72,8520"
563,15.09.2021,1630.8,67.02,343.34,6724.5,1924.8,3791.0,568.1,333.51,510.0,5892.0,,,,,,75.46,"4 065,53","1 766,67","85,9880","72,7171"
564,14.09.2021,1622.4,66.98,338.98,6570.0,1957.2,3694.5,557.25,326.48,500.1,5973.0,,,,,,73.6,"4 055,7","1 754,6","86,1150","73,0841"
565,13.09.2021,1648.8,67.38,332.75,6420.5,1993.0,3708.0,559.4,327.41,491.4,5939.2,,,,,,73.51,"4 041,16","1 751,08","86,1478","72,7600"
566,10.09.2021,1635.0,66.98,326.43,6300.0,1913.0,3694.5,543.3,326.25,480.0,5868.4,,,,,,72.92,"4 002,66","1 725,25","86,4677","73,1290"
567,09.09.2021,1615.4,66.74,324.57,6269.5,1891.0,3641.5,541.9,326.01,479.1,5735.0,,,,,,71.45,"3 993,56","1 726,37","86,9114","73,4421"
568,08.09.2021,1657.4,67.44,327.6,6341.5,1924.0,3769.5,555.9,331.7,483.3,5712.6,,,,,,72.6,"4 017,37","1 726,53","86,8922","73,1909"
569,07.09.2021,1662.0,68.16,327.73,6280.0,1952.0,3810.0,547.3,325.96,480.1,5690.8,,,,,,71.69,"4 010,16","1 723,91","86,5743","72,9538"
570,06.09.2021,1663.0,68.8,328.93,6325.0,1853.8,3791.0,550.7,329.37,486.5,5804.0,,,,,,72.22,"4 028,25","1 737,01","86,5366","72,8545"
571,03.09.2021,1648.0,69.4,317.94,6330.0,1840.4,3806.5,555.4,329.71,489.2,5732.6,,,,,,72.61,"4 001,7","1 734,16","86,2970","72,8491"
572,02.09.2021,1671.8,69.42,312.3,6350.5,1839.4,3799.0,550.7,329.0,488.0,5636.4,,,,,,73.03,"3 990,77","1 726,61","86,3949","73,1912"
573,01.09.2021,1661.0,69.48,312.89,6334.0,1805.4,3863.5,541.55,334.57,491.5,5699.6,,,,,,71.59,"3 971,02","1 715,09","86,6660","73,2781"
574,31.08.2021,1722.4,69.32,305.65,6283.5,1725.2,3850.0,533.6,327.94,485.1,5615.0,,,,,,71.63,"3 918,96","1 684,16","86,8104","73,5744"
575,30.08.2021,1739.4,69.28,305.17,6439.0,1745.6,3893.5,539.3,328.28,489.5,5352.4,,,,,,73.41,"3 928,5","1 684,7","87,0304","73,9866"
576,27.08.2021,1734.4,68.64,299.66,6429.5,1723.8,3890.0,537.8,327.41,487.2,5308.0,,,,,,72.7,"3 887,38","1 664,25","87,0576","73,9908"
577,26.08.2021,1698.8,68.06,294.34,6343.5,1684.8,3906.5,531.7,322.54,493.0,5219.0,,,,,,71.07,"3 851,57","1 634,79","86,5814","73,7428"
578,25.08.2021,1709.2,68.22,296.7,6431.0,1711.0,3901.0,538.5,324.57,513.5,5129.6,,,,,,72.25,"3 886,64","1 653,56","86,8058","73,9465"
579,24.08.2021,1688.6,68.28,298.7,6488.0,1734.6,3939.0,545.0,324.83,514.0,5159.0,,,,,,71.05,"3 888,87","1 660,9","86,7838","74,0666"
580,23.08.2021,1690.2,68.44,297.69,6475.5,1754.6,3738.0,544.85,329.22,501.6,5104.0,,,,,,68.75,"3 883,01","1 649,94","86,8646","74,3640"
